Distance,Availability,Prerequisite_3_grade,Int_Fees,City,Currency,Face_to_Face,Offline,Faculty,University,Part_Time,Currency_Time,Website,Level_Code,Course,Prerequisite_3,Full_Time,Country,Remarks,Online,Prerequisite_2,Local_Fees,Duration_Time,Prerequisite_1,Prerequisite_2_grade,Career_Outcomes,Blended,Duration,Description,Course_Lang,Prerequisite_1_grade
no,A,,Not available for 2021,Melbourne,AUD,yes,yes,Business & Commerce & Finance & Accounting,CQ University,yes,year,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-project-management&auth=%2B25e0fsyyr20xyI50QXb9w&profile=_default&rank=42&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,PG,Graduate Diploma of Project Management - CV81,,yes,Australia,[],yes,,,Year,IELTS,,,no,1,"The Graduate Diploma of Project Management will provide you with an opportunity to extend your understanding of project management, by establishing a knowledge base of theoretical principles as well as the practical application of project management.",English,6.5
no,A,,Not available for 2021,Perth,AUD,yes,yes,Business & Commerce & Finance & Accounting,CQ University,yes,year,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-project-management&auth=%2B25e0fsyyr20xyI50QXb9w&profile=_default&rank=42&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,PG,Graduate Diploma of Project Management - CV81,,yes,Australia,[],yes,,,Year,IELTS,,,no,1,"The Graduate Diploma of Project Management will provide you with an opportunity to extend your understanding of project management, by establishing a knowledge base of theoretical principles as well as the practical application of project management.",English,6.5
no,A,,Not available for 2021,Cairns,AUD,yes,yes,English,CQ University,yes,year,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-public-health&auth=EPruS6asX5G89KD9PZuHnQ&profile=_default&rank=43&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,PG,Graduate Diploma of Public Health - CL44,,yes,Australia,[],yes,,,Year,IELTS,,,no,1,"The Graduate Diploma of Public Health is part of the CQUniversity suite of Public Health courses. It continues the application of a social-ecological model of health to public health education. This model which is strongly aligned with contemporary trends and challenges in public health provides the basis of innovative interventions for social change. Unlike other Public Health courses that traditionally focus on the medical model of health, the Graduate Diploma of Public Health at CQUniversity will also incorporate a social perspective of public health skills, knowledge and practice. The Graduate Diploma of Public Health has more depth of content than the Graduate Certificate in Public Health and includes a multidisciplinary and transdisciplinary opportunity to combine your public health studies with another field of study.",English,6.5
no,A,,Not available for 2021,Online,AUD,yes,yes,English,CQ University,yes,year,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-public-health&auth=EPruS6asX5G89KD9PZuHnQ&profile=_default&rank=43&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,PG,Graduate Diploma of Public Health - CL44,,yes,Australia,[],yes,,,Year,IELTS,,,no,1,"The Graduate Diploma of Public Health is part of the CQUniversity suite of Public Health courses. It continues the application of a social-ecological model of health to public health education. This model which is strongly aligned with contemporary trends and challenges in public health provides the basis of innovative interventions for social change. Unlike other Public Health courses that traditionally focus on the medical model of health, the Graduate Diploma of Public Health at CQUniversity will also incorporate a social perspective of public health skills, knowledge and practice. The Graduate Diploma of Public Health has more depth of content than the Graduate Certificate in Public Health and includes a multidisciplinary and transdisciplinary opportunity to combine your public health studies with another field of study.",English,6.5
no,A,,Not available for 2021,Sydney,AUD,yes,yes,English,CQ University,yes,year,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-public-health&auth=EPruS6asX5G89KD9PZuHnQ&profile=_default&rank=43&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,PG,Graduate Diploma of Public Health - CL44,,yes,Australia,[],yes,,,Year,IELTS,,,no,1,"The Graduate Diploma of Public Health is part of the CQUniversity suite of Public Health courses. It continues the application of a social-ecological model of health to public health education. This model which is strongly aligned with contemporary trends and challenges in public health provides the basis of innovative interventions for social change. Unlike other Public Health courses that traditionally focus on the medical model of health, the Graduate Diploma of Public Health at CQUniversity will also incorporate a social perspective of public health skills, knowledge and practice. The Graduate Diploma of Public Health has more depth of content than the Graduate Certificate in Public Health and includes a multidisciplinary and transdisciplinary opportunity to combine your public health studies with another field of study.",English,6.5
no,A,,Not available for 2021,Melbourne,AUD,yes,yes,English,CQ University,yes,year,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-public-health&auth=EPruS6asX5G89KD9PZuHnQ&profile=_default&rank=43&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,PG,Graduate Diploma of Public Health - CL44,,yes,Australia,[],yes,,,Year,IELTS,,,no,1,"The Graduate Diploma of Public Health is part of the CQUniversity suite of Public Health courses. It continues the application of a social-ecological model of health to public health education. This model which is strongly aligned with contemporary trends and challenges in public health provides the basis of innovative interventions for social change. Unlike other Public Health courses that traditionally focus on the medical model of health, the Graduate Diploma of Public Health at CQUniversity will also incorporate a social perspective of public health skills, knowledge and practice. The Graduate Diploma of Public Health has more depth of content than the Graduate Certificate in Public Health and includes a multidisciplinary and transdisciplinary opportunity to combine your public health studies with another field of study.",English,6.5
no,D,,Not available for 2021,Online,AUD,no,no,Medical and Nursing,CQ University,yes,year,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fgraduate-diploma-of-tactical-medicine&auth=yfra6nxhRsXQYZAJH26B3g&profile=_default&rank=44&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,PG,Graduate Diploma of Tactical Medicine - CL70,,yes,Australia,[],yes,,,Year,IELTS,,,no,1,"The Graduate Diploma of Tactical Medicine will provide you with the knowledge, the clinical skills and clinical reasoning required to deal with the complex challenges of treating acute critically ill or injured patients in dynamic and high threat environments.",English,6.5
yes,A,,Not available for 2021,Online,AUD,no,no,Engineering,CQ University,yes,year,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fmaster-by-research-offshore&auth=UOhDdi5LOp163uph1lGKlg&profile=_default&rank=45&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,PG,Master by Research (Offshore) - CD85,,yes,Australia,[],yes,,,Years,IELTS,,,no,2,"The Master by Research (Offshore) provides you with the opportunity to study for a research masters, recognised within the Australian Qualification Framework, whilst remaining in your home country for a substantive part of the degree.",English,6.5
no,A,,Not available for 2021,Online,AUD,no,no,Computer Science & Information Technology,CQ University,yes,year,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fmaster-of-applied-positive-psychology&auth=3wmnXixtIFgCXygx2HbHBA&profile=_default&rank=46&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,PG,Master of Applied Positive Psychology - CL41,,yes,Australia,[],yes,,,Years,IELTS,,,no,2,"The Master of Applied Positive Psychology will equip you with the knowledge and skills to generate wellbeing, enable positive change and help individuals, organisations and communities thrive.Positive Psychology is a rapidly growing field focusing on the scientific study of wellbeing and resilience and is changing the way we live and work. As there is an increased recognition that wellbeing is essential to the workplace as well as in our personal life, professionals who can implement positive change are in high demand.",English,6.5
no,A,,Not available for 2021,Online,AUD,no,no,Computer Science & Information Technology,CQ University,yes,year,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fmaster-of-asset-and-maintenance-management&auth=3EMjWc5G%2Fz2qN%2FFiWdvISg&profile=_default&rank=47&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+8%3A+Graduate+Certificate%22%2CstudyLevel%3A%22Level+8%3A+Graduate+Diploma%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Coursework%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Extended%29%22%2CstudyLevel%3A%22Level+9%3A+Masters+Degree+%28Research%29%22%2CstudyLevel%3A%22Level+10%3A+Doctoral+Degree%22%5D,PG,Master of Asset and Maintenance Management - CC18,,no,Australia,[],yes,,,Years,IELTS,,,no,3,Enhance your employability and rise above your peers by gaining a postgraduate qualification in asset and maintenance management.,English,6.5
